4 4 0 OBB...OC.....C....QQQP.....P..RRR... R98 P97 Q98 C98  
4 4 0 BB.P...C.P..OC....O.QQQ.......RRR... R98 B99 O98 C98  
4 4 0 .BBP...C.P...C....O..QQQO.....RRR... O97 R98 Q99 C98  
4 4 0 .BB....C.....C....QQQP..O..P..O.RRR. P97 Q98 O96 C98  
4 4 0 OBB...OC.P...C.P...QQQ........RRR... R98 Q99 P99 C98  
4 4 0 OC.BB.OC.P.....P....QQQ........RRR.. C97 R99 B98 P99  
4 4 0 ...BB....P.....P...CQQQ.OC....ORRR.. O96 R99 B98 P99  
4 4 0 .BBP...C.P..OC....O..QQQ......RRR... O98 R98 Q99 C98  
4 4 0 .BBP..OC.P..OC....QQQ.........RRR... Q98 R98 C98 O99  
4 4 0 BB.P...C.P..OC....O.QQQ........RRR.. R99 B99 O98 C98  
4 4 0 BB.P...C.P..OC....O..QQQ........RRR. Q99 B99 O98 C98  
4 4 0 OBB...O..P.....P..QQQ....C.....C.RRR Q98 P99 C99 R99  
4 4 0 BB.P.....P........O.QQQ.OC.....C.RRR R99 B99 C99 O97  
4 4 0 BB.....C.P..OC.P..O.QQQ.........RRR. P99 B99 O98 C98  
4 4 0 OBB...OC.P...C.P..QQQ.........RRR... P99 Q98 R98 C98  
4 4 0 .BBP.....P...C.....C.QQQO.....O..RRR Q99 C99 O96 R99  
4 4 0 .BB...O..P..O..P...C.QQQ.C....RRR... P99 Q99 R98 O99  
4 4 0 BB.P..O..P..O......C.QQQ.C....RRR... B99 Q99 R98 O99  
4 4 0 OBB...OC.....C.P..QQQP........RRR... R98 P98 Q98 C98  
4 4 0 BB.P..OC.P..OC......QQQ........RRR.. R99 B99 C98 O99  
4 4 0 .BBP...C.P..OC....OQQQ.........RRR.. R99 Q99 O98 C98  
4 4 0 OBB...OC.....C....QQQ......P..RRRP.. P96 Q98 R98 C98  
4 4 0 .BB....C.P..OC.P..OQQQ..........RRR. P99 Q99 O98 C98  
4 4 0 .BB......P.....P...C.QQQOC....O..RRR Q99 P99 O96 R99  
4 4 0 BB.P...C.P..OC....OQQQ..........RRR. B99 Q99 O98 C98  
4 4 0 .BBP...C.P..OC....O..QQQ.........RRR Q99 R99 O98 C98  
4 4 0 .BB....C.P..OC.P..O.QQQ..........RRR P99 R99 O98 C98  
4 4 0 .BBP...C.P..OC....OQQQ...........RRR Q99 R99 O98 C98  
4 4 0 .BBP..O..P..OC.....C.QQQ......RRR... C99 Q99 R98 O99  
4 4 0 BB.P...C.P..OC....O.QQQ..........RRR B99 R99 O98 C98  
4 4 0 BB.P..OC.P..OC......QQQ..........RRR R99 B99 C98 O99  
4 4 0 .BBP...C.P..OC....OQQQ........RRR... R98 Q99 O98 C98  
4 4 0 BB.P..OC.P..OC....QQQ...........RRR. Q98 B99 C98 O99  
4 4 0 BB.P..OC.P..OC.....QQQ..........RRR. Q99 B99 C98 O99  
4 4 0 .BBP.....P........OQQQ..OC.....C.RRR Q99 O97 C99 R99  
4 4 0 .BBP.....P..O.....OQQQ...C.....C.RRR Q99 O98 C99 R99  
4 4 0 BB.P.....P.........C.QQQOC....O..RRR Q99 R99 B99 O96  
4 4 0 .BBP...C.P...C....QQQ...O.....ORRR.. Q98 R99 O96 C98  
4 4 0 BB.P..OC.P..OC.......QQQ........RRR. Q99 B99 C98 O99  
4 4 0 .BB....C.P...C.P....QQQ.O.....O..RRR C98 P99 O96 R99  
4 4 0 OBB...OC.P...C.P.....QQQ......RRR... P99 R98 Q99 C98  
4 4 0 BB.......P.....P...CQQQ.OC....O..RRR B99 P99 O96 R99  
4 4 0 ....BB...P.....P...CQQQ.OC....O..RRR B97 P99 O96 R99  
4 4 0 .BBP..O..P..O.....QQQ....C.....C.RRR Q98 O99 C99 R99  
4 4 0 .BBP.....P.........QQQ..OC....OC.RRR O96 R99 Q99 C99  
4 4 0 ...BB....P.....P...CQQQ.OC....O..RRR B98 P99 O96 R99  
4 4 0 ..BB.....P.....P...CQQQ.OC....O..RRR B99 P99 O96 R99  
4 4 0 OBB...O...........QQQP...C.P...C.RRR P97 R99 Q98 C99  
4 4 0 OBB...OC.....C.P..QQQP.........RRR.. R99 P98 Q98 C98  
4 4 0 OBB...OC.....C.P..QQQP...........RRR R99 P98 Q98 C98  
4 4 0 BB.P.....P.........C.QQQOC....ORRR.. Q99 R99 B99 O96  
4 4 0 OBB...OC.P...C.P..QQQ..........RRR.. Q98 R99 P99 C98  
4 4 0 .BBP...C.P...C....QQQ...O.....O..RRR Q98 R99 O96 C98  
4 4 0 O...BBOC.....C.P..QQQP..........RRR. B97 P98 Q98 C98  
4 4 0 O..BB.OC.....C.P..QQQP..........RRR. B98 P98 Q98 C98  
4 4 0 BB.P.....P...........QQQOC....OCRRR. C99 Q99 B99 O96  
4 4 0 O.BB..OC.....C.P..QQQP..........RRR. B99 P98 Q98 C98  
4 4 0 .BB...OC....OC.P..QQQP..........RRR. O99 P98 Q98 C98  
4 4 0 BB.......P...C.P...CQQQ.O.....O.RRR. P99 C99 B99 O96  
4 4 0 .BBP.....P........QQQ...OC....OC.RRR Q98 R99 C99 O96  
4 4 0 OBB...OC.....C....QQQP.....P...RRR.. R99 P97 Q98 C98  
4 4 0 OBB...OC.....C....QQQP.....P.....RRR R99 P97 Q98 C98  
4 4 0 BB.......P.....P....QQQ.OC....OCRRR. C99 P99 B99 O96  
4 4 0 O...BBOC.....C....QQQP.....P....RRR. B97 P97 Q98 C98  
4 4 0 O..BB.OC.....C....QQQP.....P....RRR. B98 P97 Q98 C98  
4 4 0 .BBP..O..P..OC.....C.QQQ.......RRR.. Q99 R99 C99 O99  
4 4 0 BB.P...C.P...C.....QQQ..O.....O.RRR. B99 Q99 O96 C98  
4 4 0 OBB...OC.P...C.P.....QQQ.........RRR C98 Q99 R99 P99  
4 4 0 .BBP.....P...C....OC.QQQO.....RRR... C99 Q99 R98 O97  
4 4 0 O...BBOC.P...C.P..QQQ...........RRR. B97 Q98 P99 C98  
4 4 0 O.BB..OC.....C....QQQP.....P....RRR. B99 P97 Q98 C98  
4 4 0 .BB...OC....OC....QQQP.....P....RRR. O99 P97 Q98 C98  
4 4 0 .BB....C.P...C.P...QQQ..O.....O.RRR. P99 Q99 O96 C98  
4 4 0 BB.P.....P........OQQQ..OC.....CRRR. Q99 B99 C99 O97  
4 4 0 BB.P.....P........O..QQQOC.....CRRR. Q99 B99 C99 O97  
4 4 0 .BBP..O..P..OC.....C.QQQ.........RRR Q99 R99 C99 O99  
4 4 0 .BBP.....P...C.....C.QQQO.....ORRR.. C99 Q99 O96 R99  
4 4 0 BB.......P.....P..O.QQQ.OC.....CRRR. P99 B99 C99 O97  
4 4 0 .BB......P...C.P...CQQQ.O.....O..RRR P99 C99 O96 R99  
4 4 0 .BBP...C.P..OC....O..QQQ.......RRR.. Q99 R99 O98 C98  
4 4 0 BB.P.....P...C.....CQQQ.O.....O..RRR B99 C99 O96 R99  
